epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.6436,1.85905,3.03458,1.80568,0.51308,0.42943,0.47649,0.19588,1.77921,3.65188,1.87887,0.000547247,0.000547247,0.000547247
2,152.542,1.75244,2.10188,1.64401,0.47337,0.21148,0.22379,0.09456,2.27295,3.63202,2.10694,0.00108108,0.00108108,0.00108108
3,240.943,1.75762,1.73881,1.62451,0.67492,0.37014,0.51171,0.22711,1.94926,2.46106,1.98505,0.0015929,0.0015929,0.0015929
4,333.785,1.76571,1.5701,1.6251,0.61656,0.45368,0.47564,0.20245,2.03725,2.01273,1.91886,0.00156798,0.00156798,0.00156798
5,406.732,1.72773,1.39211,1.58867,0.79911,0.73055,0.78399,0.36611,1.78157,1.97594,1.82343,0.00153497,0.00153497,0.00153497
6,485.627,1.70935,1.31136,1.57295,0.84234,0.82531,0.87077,0.40887,1.76377,1.14679,1.75198,0.00150197,0.00150197,0.00150197
7,554.748,1.67876,1.20892,1.54738,0.74876,0.75463,0.85262,0.38912,1.8342,1.58439,1.8044,0.00146896,0.00146896,0.00146896
8,621.112,1.65459,1.15835,1.52109,0.90854,0.77929,0.86149,0.43584,1.67408,1.0605,1.71438,0.00143595,0.00143595,0.00143595
9,682.461,1.65077,1.14335,1.53614,0.82221,0.85694,0.89129,0.43536,1.79386,1.09792,1.73993,0.00140295,0.00140295,0.00140295
10,743.34,1.6567,1.11184,1.52581,0.83753,0.84605,0.8908,0.44504,1.70484,1.02042,1.68914,0.00136994,0.00136994,0.00136994
11,804.575,1.63891,1.10005,1.51456,0.79835,0.80963,0.83831,0.39938,1.85902,1.18183,1.81405,0.00133693,0.00133693,0.00133693
12,868.051,1.61262,1.07112,1.50708,0.90955,0.8949,0.92495,0.43801,1.68778,0.95823,1.66463,0.00130393,0.00130393,0.00130393
13,930.156,1.6321,1.06278,1.50848,0.91743,0.88116,0.92616,0.46578,1.68251,0.90961,1.72584,0.00127092,0.00127092,0.00127092
14,992.74,1.58642,1.01282,1.48733,0.95276,0.89472,0.94009,0.47514,1.67376,0.86822,1.69934,0.00123791,0.00123791,0.00123791
15,1055.68,1.59982,1.01148,1.48935,0.88655,0.91825,0.94734,0.4842,1.66405,0.84632,1.67454,0.00120491,0.00120491,0.00120491
16,1115.44,1.5673,0.97366,1.4574,0.92079,0.87491,0.9232,0.48541,1.63177,0.84632,1.61426,0.0011719,0.0011719,0.0011719
17,1178.87,1.56165,0.94467,1.45691,0.91439,0.85011,0.92765,0.47226,1.65678,0.92624,1.6742,0.00113889,0.00113889,0.00113889
18,1243.65,1.55071,0.95226,1.46384,0.90304,0.90231,0.94071,0.48145,1.63462,0.84834,1.61079,0.00110589,0.00110589,0.00110589
19,1304.6,1.56131,0.95634,1.46234,0.9177,0.90211,0.9167,0.4727,1.68274,0.81911,1.63057,0.00107288,0.00107288,0.00107288
20,1366.43,1.54989,0.91033,1.44206,0.93336,0.90801,0.9376,0.50865,1.60804,0.81909,1.62713,0.00103987,0.00103987,0.00103987
21,1426.65,1.54674,0.91633,1.45113,0.93906,0.88262,0.93485,0.49063,1.63727,0.80295,1.64325,0.00100687,0.00100687,0.00100687
22,1488.97,1.54415,0.91099,1.45136,0.92594,0.89365,0.93463,0.49039,1.61153,0.79106,1.58598,0.000973861,0.000973861,0.000973861
23,1551.38,1.54668,0.89996,1.43728,0.95062,0.92926,0.9545,0.47801,1.65201,0.75576,1.61935,0.000940855,0.000940855,0.000940855
24,1611.93,1.53973,0.882,1.4444,0.92196,0.90666,0.93427,0.49366,1.61357,0.75889,1.61163,0.000907848,0.000907848,0.000907848
25,1673.89,1.52504,0.86221,1.4359,0.94203,0.8903,0.93523,0.49266,1.65493,0.73773,1.62952,0.000874842,0.000874842,0.000874842
26,1735.83,1.52819,0.87991,1.42606,0.93317,0.92001,0.94721,0.49871,1.59213,0.72617,1.59655,0.000841835,0.000841835,0.000841835
27,1795.81,1.52533,0.87281,1.43177,0.95347,0.91876,0.93882,0.49425,1.63016,0.74015,1.59549,0.000808828,0.000808828,0.000808828
28,1858.82,1.49091,0.84561,1.40793,0.94644,0.9174,0.95478,0.52504,1.6166,0.69081,1.59087,0.000775822,0.000775822,0.000775822
29,1922.17,1.48453,0.81403,1.40878,0.96598,0.93126,0.96072,0.50339,1.64823,0.67598,1.62956,0.000742815,0.000742815,0.000742815
30,1983.53,1.48545,0.81004,1.40617,0.93866,0.91667,0.94718,0.51471,1.60302,0.68482,1.60194,0.000709809,0.000709809,0.000709809
31,2044.95,1.47487,0.81629,1.40171,0.9205,0.92856,0.94589,0.51882,1.56206,0.66795,1.59375,0.000676802,0.000676802,0.000676802
32,2106.35,1.45939,0.80441,1.40082,0.95502,0.92752,0.95201,0.51143,1.58864,0.69295,1.60214,0.000643795,0.000643795,0.000643795
33,2167.55,1.45873,0.79021,1.38227,0.94152,0.94023,0.94758,0.52881,1.55652,0.6639,1.55899,0.000610789,0.000610789,0.000610789
34,2230.01,1.46247,0.78048,1.38997,0.93997,0.94526,0.95426,0.51613,1.61018,0.67438,1.59549,0.000577782,0.000577782,0.000577782
35,2293.71,1.4459,0.76957,1.38068,0.9425,0.93329,0.95524,0.52856,1.56759,0.66968,1.61015,0.000544776,0.000544776,0.000544776
36,2356.28,1.42603,0.78455,1.37849,0.95507,0.94126,0.96449,0.51997,1.58983,0.65381,1.58635,0.000511769,0.000511769,0.000511769
37,2418.97,1.42336,0.74832,1.36265,0.92259,0.95873,0.9632,0.51921,1.56642,0.64712,1.55956,0.000478762,0.000478762,0.000478762
38,2482.06,1.42924,0.76285,1.36969,0.95927,0.90609,0.95655,0.53347,1.56581,0.65168,1.57473,0.000445756,0.000445756,0.000445756
39,2545.13,1.40409,0.76259,1.35529,0.95855,0.94248,0.96465,0.54009,1.51836,0.63028,1.54282,0.000412749,0.000412749,0.000412749
40,2608.44,1.38602,0.7346,1.35097,0.94965,0.92798,0.95923,0.52792,1.54099,0.63179,1.56825,0.000379743,0.000379743,0.000379743
41,2680.23,1.3863,0.60442,1.41581,0.97192,0.9214,0.97234,0.52633,1.54527,0.63654,1.55145,0.000346736,0.000346736,0.000346736
42,2749.87,1.3587,0.6007,1.4028,0.92685,0.94552,0.96457,0.53684,1.53828,0.63219,1.54786,0.000313729,0.000313729,0.000313729
43,2817.38,1.36055,0.5848,1.3997,0.95834,0.94273,0.97371,0.53544,1.52187,0.61957,1.5492,0.000280723,0.000280723,0.000280723
44,2884.36,1.33753,0.57792,1.39753,0.95069,0.93752,0.96416,0.53433,1.54351,0.61636,1.57455,0.000247716,0.000247716,0.000247716
45,2954.63,1.33093,0.5731,1.38842,0.93426,0.95174,0.96396,0.54267,1.51391,0.5957,1.55303,0.00021471,0.00021471,0.00021471
46,3019,1.31672,0.56281,1.39203,0.9607,0.93269,0.96916,0.54808,1.52583,0.59573,1.54378,0.000181703,0.000181703,0.000181703
47,3085.51,1.29926,0.54794,1.37204,0.95128,0.95301,0.96908,0.55284,1.52597,0.582,1.5512,0.000148696,0.000148696,0.000148696
48,3151.52,1.29344,0.53891,1.38192,0.96357,0.93939,0.96772,0.54717,1.50872,0.58199,1.54796,0.00011569,0.00011569,0.00011569
49,3216.98,1.29331,0.53484,1.36232,0.96027,0.94822,0.96844,0.55208,1.50556,0.57712,1.54578,8.26832e-05,8.26832e-05,8.26832e-05
50,3284.87,1.28797,0.53219,1.36535,0.95652,0.94626,0.96973,0.55341,1.5129,0.57784,1.54805,4.96766e-05,4.96766e-05,4.96766e-05
