epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.114,1.65144,3.06572,1.57963,0.45923,0.4744,0.49793,0.29158,1.63782,3.02895,1.7437,0.000471963,0.000471963,0.000471963
2,235.328,1.54568,1.9358,1.44137,0.70901,0.4146,0.51285,0.32322,1.58603,2.67482,1.60856,0.00092952,0.00092952,0.00092952
3,360.175,1.55651,1.59933,1.44192,0.48028,0.66343,0.64359,0.36423,1.5227,1.90793,1.62889,0.00136821,0.00136821,0.00136821
4,484.855,1.56569,1.45106,1.45162,0.65446,0.59288,0.62125,0.34986,1.61968,1.36214,1.62055,0.00134412,0.00134412,0.00134412
5,597.453,1.516,1.31243,1.41801,0.67135,0.65566,0.70918,0.43125,1.44076,1.33477,1.521,0.00131582,0.00131582,0.00131582
6,702.851,1.48553,1.23336,1.3884,0.70066,0.75185,0.77211,0.45462,1.42024,1.16606,1.50688,0.00128753,0.00128753,0.00128753
7,803.716,1.48097,1.19773,1.39005,0.84158,0.78704,0.87385,0.50771,1.40578,0.9955,1.47488,0.00125923,0.00125923,0.00125923
8,903.124,1.46301,1.14961,1.37323,0.81425,0.81031,0.83842,0.49978,1.35791,0.90637,1.44957,0.00123094,0.00123094,0.00123094
9,1007.88,1.44962,1.11177,1.37382,0.67241,0.76301,0.78138,0.4656,1.44384,0.98435,1.48586,0.00120265,0.00120265,0.00120265
10,1113.15,1.44333,1.0721,1.35671,0.85448,0.82081,0.8881,0.53795,1.38312,0.85562,1.43435,0.00117435,0.00117435,0.00117435
11,1217.47,1.40846,1.03895,1.33381,0.81471,0.77037,0.86465,0.52134,1.40863,0.8762,1.46279,0.00114606,0.00114606,0.00114606
12,1317.53,1.40691,1.03123,1.32887,0.87168,0.84945,0.9217,0.55445,1.3492,0.77667,1.41705,0.00111776,0.00111776,0.00111776
13,1415.03,1.40813,1.01448,1.32945,0.81545,0.82638,0.86725,0.54186,1.34834,0.82808,1.43484,0.00108947,0.00108947,0.00108947
14,1512.6,1.379,0.99339,1.32225,0.79419,0.801,0.85731,0.53515,1.31774,0.85316,1.41417,0.00106118,0.00106118,0.00106118
15,1611.94,1.37631,0.9784,1.3238,0.82652,0.87804,0.91325,0.56213,1.35548,0.77683,1.43269,0.00103288,0.00103288,0.00103288
16,1713.3,1.36971,0.95647,1.32284,0.79232,0.8925,0.88662,0.54053,1.36866,0.79735,1.43119,0.00100459,0.00100459,0.00100459
17,1813.55,1.3483,0.94134,1.30077,0.83045,0.81003,0.88948,0.56662,1.29064,0.76206,1.39502,0.000976293,0.000976293,0.000976293
18,1910.48,1.36204,0.9181,1.31295,0.87015,0.83238,0.91181,0.54977,1.31734,0.78368,1.40056,0.000947999,0.000947999,0.000947999
19,2008.3,1.34426,0.93536,1.30577,0.85354,0.88196,0.9275,0.57073,1.33833,0.72165,1.41154,0.000919704,0.000919704,0.000919704
20,2105.75,1.34367,0.91346,1.30149,0.8806,0.86834,0.92653,0.59417,1.26446,0.67639,1.38783,0.00089141,0.00089141,0.00089141
21,2203.29,1.33473,0.87996,1.29511,0.90345,0.85914,0.93085,0.58651,1.29686,0.6923,1.40228,0.000863116,0.000863116,0.000863116
22,2302.18,1.3162,0.88833,1.29546,0.84403,0.90559,0.93359,0.5927,1.25463,0.69426,1.37721,0.000834822,0.000834822,0.000834822
23,2401.06,1.31004,0.86989,1.2847,0.8995,0.84883,0.93283,0.5875,1.28761,0.70037,1.38829,0.000806528,0.000806528,0.000806528
24,2502.24,1.30401,0.85498,1.28182,0.80205,0.79484,0.89066,0.56964,1.29527,0.79367,1.38396,0.000778233,0.000778233,0.000778233
25,2604.43,1.30547,0.84786,1.28612,0.8593,0.90373,0.93613,0.59603,1.2702,0.65399,1.36798,0.000749939,0.000749939,0.000749939
26,2710.9,1.29944,0.84707,1.27104,0.86481,0.91019,0.93908,0.59292,1.31048,0.6548,1.40122,0.000721645,0.000721645,0.000721645
27,2817.67,1.29664,0.83657,1.28454,0.91709,0.87605,0.9441,0.59365,1.29177,0.65664,1.40425,0.000693351,0.000693351,0.000693351
